"ROI","hx","hm","hn","hk","p.RIGEA"
"ROI_048",11,290,26661,29,8.45763688777396e-17
"ROI_070",5,162,26789,29,1.82081598744264e-08
"ROI_047",4,253,26698,29,6.92151195685258e-06
"ROI_046",3,175,26776,29,3.59338576211017e-05
"ROI_111",2,115,26836,29,0.000255035442854703
"ROI_044",2,207,26744,29,0.00140824373227453
"ROI_109",0,7,26944,29,0.00750875025971676
"ROI_095",0,15,26936,29,0.0160235263625356
"ROI_096",0,22,26929,29,0.0234160615736365
"ROI_021",0,30,26921,29,0.0317990156555692
"ROI_022",0,30,26921,29,0.0317990156555692
"ROI_116",0,30,26921,29,0.0317990156555692
"ROI_079",0,33,26918,29,0.0349246759985046
"ROI_113",0,33,26918,29,0.0349246759985046
"ROI_080",0,34,26917,29,0.0359643960518538
"ROI_110",0,34,26917,29,0.0359643960518538
"ROI_107",0,35,26916,29,0.0370030345522251
"ROI_115",0,35,26916,29,0.0370030345522251
"ROI_108",0,38,26913,29,0.0401124715795181
"ROI_081",1,308,26643,29,0.0431589923459664
"ROI_041",0,44,26907,29,0.046302289839348
"ROI_036",0,45,26906,29,0.0473301723083959
"ROI_114",0,46,26905,29,0.0483569851011948
"ROI_042",0,51,26900,29,0.0534750414560428
"ROI_075",0,60,26891,29,0.0626206474442903
"ROI_076",0,62,26889,29,0.0646413865879012
"ROI_112",0,67,26884,29,0.0696748504686063
"ROI_035",0,68,26883,29,0.0706784001389086
"ROI_025",0,75,26876,29,0.0776740396184823
"ROI_102",0,85,26866,29,0.0875796752207214
"ROI_017",0,93,26858,29,0.0954301508862945
"ROI_005",0,95,26856,29,0.0973825562143086
"ROI_101",0,96,26855,29,0.0983572324829185
"ROI_006",0,105,26846,29,0.107083710821684
"ROI_026",0,109,26842,29,0.110935917709048
"ROI_058",1,543,26408,29,0.115272936087986
"ROI_098",0,122,26829,29,0.123345089059937
"ROI_038",0,126,26825,29,0.127129534055277
"ROI_009",0,128,26823,29,0.129015836534862
"ROI_037",0,128,26823,29,0.129015836534862
"ROI_039",0,129,26822,29,0.129957511244645
"ROI_106",0,130,26821,29,0.130898202922144
"ROI_054",0,133,26818,29,0.133714389652084
"ROI_011",0,135,26816,29,0.135586950427605
"ROI_053",0,135,26816,29,0.135586950427605
"ROI_018",0,140,26811,29,0.140251270157899
"ROI_105",0,141,26810,29,0.141181213582815
"ROI_087",0,144,26807,29,0.143965220447451
"ROI_040",0,148,26803,29,0.147663678098655
"ROI_027",0,156,26795,29,0.155014364557643
"ROI_010",0,157,26794,29,0.15592888530509
"ROI_028",0,158,26793,29,0.156842450369139
"ROI_045",0,162,26789,29,0.160487173038698
"ROI_012",0,168,26783,29,0.16592574983561
"ROI_062",0,169,26782,29,0.166828865739532
"ROI_097",0,171,26780,29,0.16863226593503
"ROI_071",0,174,26777,29,0.171330301462187
"ROI_073",0,177,26774,29,0.174019882043861
"ROI_074",0,179,26772,29,0.175808251194475
"ROI_072",0,187,26764,29,0.182924414675318
"ROI_078",0,192,26759,29,0.187341852498385
"ROI_063",0,197,26754,29,0.191736227114357
"ROI_050",0,199,26752,29,0.193487545295508
"ROI_077",0,200,26751,29,0.194361829879331
"ROI_049",0,202,26749,29,0.196107654656252
"ROI_083",0,208,26743,29,0.201323240251513
"ROI_084",0,208,26743,29,0.201323240251513
"ROI_088",0,208,26743,29,0.201323240251513
"ROI_065",0,213,26738,29,0.205644590246963
"ROI_032",0,220,26731,29,0.211656572656809
"ROI_043",0,231,26720,29,0.221015309223189
"ROI_031",0,232,26719,29,0.221860764164526
"ROI_069",0,232,26719,29,0.221860764164526
"ROI_033",0,254,26697,29,0.240238195632863
"ROI_016",0,261,26690,29,0.245997163595458
"ROI_015",0,264,26687,29,0.248452369644676
"ROI_019",0,275,26676,29,0.257388921594723
"ROI_059",0,282,26669,29,0.263022304961433
"ROI_093",0,282,26669,29,0.263022304961433
"ROI_030",0,284,26667,29,0.264624249783639
"ROI_103",0,292,26659,29,0.270998474301301
"ROI_099",0,293,26658,29,0.27179149145293
"ROI_060",0,302,26649,29,0.278891264641582
"ROI_055",0,304,26647,29,0.280459891363357
"ROI_100",0,304,26647,29,0.280459891363357
"ROI_094",0,307,26644,29,0.282806655753395
"ROI_091",0,308,26643,29,0.283587267034852
"ROI_020",0,309,26642,29,0.284367057946386
"ROI_029",0,313,26638,29,0.287478034508987
"ROI_092",0,316,26635,29,0.289802693704176
"ROI_052",0,317,26634,29,0.290575951518427
"ROI_066",0,317,26634,29,0.290575951518427
"ROI_064",0,319,26632,29,0.292120029221465
"ROI_024",0,333,26618,29,0.302838078389021
"ROI_014",0,341,26610,29,0.308892149436845
"ROI_056",0,345,26606,29,0.311900118516199
"ROI_104",0,351,26600,29,0.316388383841381
"ROI_013",0,359,26592,29,0.322328787970028
"ROI_034",0,367,26584,29,0.328219336626665
"ROI_002",0,373,26578,29,0.332604773371757
"ROI_061",0,377,26574,29,0.335513027741598
"ROI_001",0,387,26564,29,0.342730231430764
"ROI_023",0,392,26559,29,0.346310392583281
"ROI_082",0,413,26538,29,0.361142530688923
"ROI_003",0,433,26518,29,0.374965944009763
"ROI_051",0,474,26477,29,0.40240680542761
"ROI_004",0,507,26444,29,0.423644893731755
"ROI_057",0,533,26418,29,0.439862806056079
"ROI_068",0,535,26416,29,0.441091920291581
"ROI_089",0,541,26410,29,0.444763658761268
"ROI_067",0,573,26378,29,0.463956298689358
"ROI_090",0,611,26340,29,0.485916291399923
"ROI_086",0,631,26320,29,0.497122660542607
"ROI_085",0,730,26221,29,0.549209914431754
"ROI_007",0,785,26166,29,0.575854639866269
"ROI_008",0,788,26163,29,0.577263382943466
